iter	RMSE
192	2.135192214
193	2.129903327
194	2.125430043
195	2.122104351
196	2.116927669
197	2.111290278
198	2.106530019
199	2.100388863
200	2.095911296
201	2.090766372
202	2.088067889
203	2.083138854
204	2.077131839
205	2.072765519
206	2.06844576
207	2.064003456
208	2.059307871
209	2.05371159
210	2.050875317
211	2.046646184
212	2.043059309
213	2.038448674
214	2.034580418
215	2.029815626
216	2.025303119
217	2.020044563
218	2.015409848
219	2.011286163
220	2.008725608
221	2.004863438
222	2.001216231
223	1.997400972
224	1.991889136
225	1.986855549
226	1.981622934
227	1.978268811
228	1.975541892
229	1.972382353
230	1.968271301
231	1.962694216
232	1.960007425
233	1.95655962
234	1.952738894
235	1.950283834
236	1.947855552
237	1.943440691
238	1.939776087
239	1.937391003
240	1.933484558
241	1.930951199
242	1.928724331
243	1.926176562
244	1.923139373
245	1.919148535
246	1.916969283
247	1.913308736
248	1.909878823
249	1.907789967
250	1.904765899
251	1.902124481
252	1.898393229
253	1.895257581
254	1.891668869
255	1.888094076
256	1.884364313
257	1.880239673
258	1.878081989
259	1.87483001
260	1.871638336
261	1.86793702
262	1.864175444
263	1.861660611
264	1.8584105
265	1.85648049
266	1.854776261
267	1.85289304
268	1.850985812
269	1.849241448
270	1.84595738
271	1.842776616
272	1.841232867
273	1.83863432
274	1.834453777
275	1.830965419
276	1.828272525
277	1.824761769
278	1.823079781
279	1.821435896
280	1.818764801
281	1.816049201
282	1.813673307
283	1.8116589
284	1.81008059
285	1.808470839
286	1.806965899
287	1.804384933
288	1.801624706
289	1.799692881
290	1.796664751
291	1.793866904
292	1.792171982
293	1.790383596
294	1.787041287
295	1.784185641
296	1.781991225
297	1.780511033
298	1.7780005
299	1.774747628
300	1.771965798
301	1.769146462
302	1.767715457
303	1.765282336
304	1.763885887
305	1.761545407
306	1.75899282
307	1.75760304
308	1.755042489
309	1.753518745
310	1.750713374
311	1.748331121
312	1.7466189
313	1.745180083
314	1.74224848
315	1.740113666
316	1.737931409
317	1.735754887
318	1.732669936
319	1.729873241
320	1.727632663
321	1.7263026
322	1.72390967
323	1.721452558
324	1.718749207
325	1.717095987
326	1.714793056
327	1.71328045
328	1.710744107
329	1.708576455
330	1.707586815
331	1.706240959
332	1.703985068
333	1.701836279
334	1.699259243
335	1.697569484
336	1.696070705
337	1.693375394
338	1.692020266
339	1.689639709
340	1.687310715
341	1.684912349
342	1.683508179
343	1.681305159
344	1.680150853
345	1.678177236
346	1.67642255
347	1.674558761
348	1.671367628
349	1.670159392
350	1.667965143
351	1.66669783
352	1.664241713
353	1.6617466
354	1.660350973
355	1.658085708
356	1.656394502
357	1.654188994
358	1.652899328
359	1.650232263
360	1.648294654
361	1.645727622
362	1.643218775
363	1.641958724
364	1.64020139
365	1.638018583
366	1.635424438
367	1.633526153
368	1.631567722
369	1.62957052
370	1.628228412
371	1.626535503
372	1.625047848
373	1.623785757
374	1.622070656
375	1.620176348
376	1.618714756
377	1.617098041
378	1.615857652
379	1.613744744
380	1.612078751
381	1.610687994
382	1.609243345
383	1.607806248
384	1.605580828
385	1.604482782
386	1.603523886
387	1.601599646
388	1.599950627
389	1.598000391
390	1.596309375
391	1.595312791
392	1.592728335
393	1.590281568
394	1.58840519
395	1.586241351
396	1.584548989
397	1.582915483
398	1.580992565
399	1.578585892
400	1.576456971
401	1.575175407
402	1.573660728
403	1.571821266
404	1.570779285
405	1.569666472
406	1.568188711
407	1.567128859
408	1.565180656
409	1.563799937
410	1.562581204
411	1.561701881
412	1.56045165
413	1.558697416
414	1.556947134
415	1.555066555
416	1.553508445
417	1.552571079
418	1.550537118
419	1.549020034
420	1.546945903
421	1.545219035
422	1.543790403
423	1.542349723
424	1.541041727
425	1.539441305
426	1.538058481
427	1.536686305
428	1.535867218
429	1.534609005
430	1.533212945
431	1.531972285
432	1.529321208
433	1.528063097
434	1.526667521
435	1.525125184
436	1.522559817
437	1.520469995
438	1.519606284
439	1.517040952
440	1.515471445
441	1.51370227
442	1.512533423
443	1.510922223
444	1.509868138
445	1.507654278
446	1.505898774
447	1.504333428
448	1.502842083
449	1.501193681
450	1.499888538
451	1.498985099
452	1.497495596
453	1.49597855
454	1.495393552
455	1.494055211
456	1.492806874
457	1.491419845
458	1.490315193
459	1.489145126
460	1.487798873
461	1.486713822
462	1.484271766
463	1.483552447
464	1.482395147
465	1.480072141
466	1.479349302
467	1.478072414
468	1.476276854
469	1.475154947
470	1.474028278
471	1.472795864
472	1.471238023
473	1.46976061
474	1.467699636
475	1.465838948
476	1.464256303
477	1.463467704
478	1.461959909
479	1.46090389
480	1.459617105
481	1.458174238
482	1.457060897
483	1.454583998
484	1.453120462
485	1.451217843
486	1.45020666
487	1.449141557
488	1.447819346
489	1.446310743
490	1.444652543
491	1.443526305
492	1.44226742
493	1.440545397
494	1.438777092
495	1.437220542
496	1.435978714
497	1.434450714
498	1.433811081
499	1.433080785
500	1.431677244
501	1.430541947
502	1.429733234
503	1.428174016
504	1.426722427
505	1.424847774
506	1.42371
507	1.422065225
508	1.421306288
509	1.418805132
510	1.416325689
511	1.4155211
512	1.413985501
513	1.413138113
514	1.411984338
515	1.410542733
516	1.408988605
517	1.408212005
518	1.407108105
519	1.405702806
520	1.40468244
521	1.403209576
522	1.402455418
523	1.401360923
524	1.400414146
525	1.399077391
526	1.398643362
527	1.39736195
528	1.395673568
529	1.394576665
530	1.393977045
531	1.392901152
532	1.391956375
533	1.390718284
534	1.389816961
535	1.388898578
536	1.388064602
537	1.386591561
538	1.385820565
539	1.384702089
540	1.383772836
541	1.382930264
542	1.380223114
543	1.379286507
544	1.377910339
545	1.37684006
546	1.375458107
547	1.374499121
548	1.373369646
549	1.372488363
550	1.371350093
551	1.370405508
552	1.369263387
553	1.367829248
554	1.367045508
555	1.365986554
556	1.365151627
557	1.364172312
558	1.363283015
559	1.360254407
560	1.359353282
561	1.35774901
562	1.35715603
563	1.355611789
564	1.354155344
565	1.353245422
566	1.35198898
567	1.350995148
568	1.349866286
569	1.348665424
570	1.347799319
571	1.346897836
572	1.345769985
573	1.344928835
574	1.344008841
575	1.343390413
576	1.341317413
577	1.340701152
578	1.339755817
579	1.337738797
580	1.335997341
581	1.334255797
582	1.333382658
583	1.332444514
584	1.331619181
585	1.330056903
586	1.329018054
587	1.328337571
588	1.327444573
589	1.326788273
590	1.326133594
591	1.325161335
592	1.324308273
593	1.323424781
594	1.322831837
595	1.322363088
596	1.321376062
597	1.3205224
598	1.318791588
599	1.317988577
600	1.317120754
601	1.316399992
602	1.315431113
603	1.314631043
604	1.313698873
605	1.312948437
606	1.311743538
607	1.310854399
608	1.309859878
609	1.308412348
610	1.307362982
611	1.306573635
612	1.304302152
613	1.303565235
614	1.302119393
615	1.301526252
616	1.300098565
617	1.299315046
618	1.298191295
619	1.297120033
620	1.296451942
621	1.295534606
622	1.29466562
623	1.293743167
624	1.292601994
625	1.291871462
626	1.290613315
627	1.289651264
628	1.288948788
629	1.287787843
630	1.286646583
631	1.285918222
632	1.285114144
633	1.283997515
634	1.282802278
635	1.282213246
636	1.28132189
637	1.280783913
638	1.280234747
639	1.278661713
640	1.27790034
641	1.276168861
642	1.275422499
643	1.274186005
644	1.273237411
645	1.272556456
646	1.271818902
647	1.270741721
648	1.269861428
649	1.268545966
650	1.266743802
651	1.265780802
652	1.264802768
653	1.263991522
654	1.26355396
655	1.26255268
656	1.261759098
657	1.260529431
658	1.25952954
659	1.258321411
660	1.256853346
661	1.256281623
662	1.255607503
663	1.254552691
664	1.25345847
665	1.252454472
666	1.251497808
667	1.250436121
668	1.249520648
669	1.248540122
670	1.247829307
671	1.247045539
672	1.246425893
673	1.245759616
674	1.243696604
675	1.242453272
676	1.242007037
677	1.239781051
678	1.238207371
679	1.237354759
680	1.236753139
681	1.235595813
682	1.234428247
683	1.233635177
684	1.233024969
685	1.231730423
686	1.230526645
687	1.229602967
688	1.229130397
689	1.228652384
690	1.227924808
691	1.226797149
692	1.225552375
693	1.224878017
694	1.224242605
695	1.223421968
696	1.222899315
697	1.222232354
698	1.221291374
699	1.220634034
700	1.220110465
701	1.218864511
702	1.218084728
703	1.217399213
704	1.216376925
705	1.215609841
706	1.214580755
707	1.214064566
708	1.21315336
709	1.212176343
710	1.211074593
711	1.209796078
712	1.208906641
713	1.207956231
714	1.207145869
715	1.206208115
716	1.205610452
717	1.20462356
718	1.204097053
719	1.203256955
720	1.202694838
721	1.201675018
722	1.200643305
723	1.199778617
724	1.199213224
725	1.197718666
726	1.196731826
727	1.194901596
728	1.194135804
729	1.192997447
730	1.192011707
731	1.191381023
732	1.190850331
733	1.190156
734	1.189318679
735	1.188235328
736	1.187862525
737	1.186875549
738	1.186338305
739	1.185560311
740	1.184691376
741	1.184003294
742	1.18294627
743	1.182118788
744	1.181488413
745	1.180912602
746	1.17974228
747	1.17869008
748	1.177773519
749	1.176911367
750	1.17591499
751	1.175276575
752	1.174063686
753	1.173419354
754	1.172788336
755	1.171522038
756	1.170872821
757	1.170073032
758	1.169615443
759	1.168961777
760	1.168087952
761	1.167199154
762	1.166730888
763	1.165866519
764	1.164673459
765	1.163982291
766	1.163447422
767	1.162560631
768	1.161905577
769	1.161163014
770	1.160140204
771	1.159578828
772	1.158582321
773	1.158010189
774	1.156829153
775	1.155804354
776	1.154805376
777	1.153694781
778	1.153185287
779	1.152837806
780	1.151733307
781	1.150963772
782	1.150403569
783	1.149723095
784	1.148731635
785	1.147966575
786	1.147547432
787	1.14687902
788	1.146176381
789	1.145799935
790	1.144935625
791	1.144151965
792	1.143607618
793	1.142148682
794	1.141413604
795	1.140781358
796	1.140248881
797	1.138313463
798	1.137818396
799	1.136903926
